StdGenID,ItemDescription,Units,Period,Qty,Unitcost
B100001C369,Overcurrent relays,unit,Annual,8,"$40,000,000.00"
B100001C369,Under frequency,unit,Annual,3,"$20,000,000.00"
B100001C369,Energy meters,unit,Annual,40,"$10,000,000.00"
B100001C369, GPRS Modems,unit,Annual,20,"$4,000,000.00"
B100001C369,AC Voltage Insulation Test Set,unit,Annual,1,"$80,000,000.00"
B100001C374,7 x 2.5mmsq CU PVC SWA PVC Cables,Metres,Annual,1500,"$10,000.00"
B100001C374,4 x 2.5mmsq CU PVC SWA PVC Cables,Metres,Annual,2500,"$8,000.00"
B100001C374,Command relays 110VDC,unit,Annual,30,"$80,000.00"
B100001C374,AC MCB 110Vac,unit,Annual,20,"$120,000.00"
B100001C374,Samopha lights,unit,Annual,500,"$15,000.00"
B100001C374,Auxilliary relays 110VDC,unit,Annual,100,"$120,000.00"
B100001C374,Overcurrent relays,unit,Annual,8,"$25,000,000.00"
B100001C374,Underfrequency relays,unit,Annual,3,"$15,000,000.00"
B100005C362,Office chairs,pcs,Annual,12,"$450,000.00"
B100007C368,Energy Meter Scheduler,unit,Annual,1,"$130,000,000.00"
B100007C368,AC Voltage Insulation Test set,unit,Annual,1,"$80,000,000.00"
B100007C368,AC 3PH Variac,unit,Annual,1,"$40,000,000.00"
B100007C368,Wire Marker,unit,Annual,1,"$40,000,000.00"
B100013C370,Motor Vehicle to replace UAA 964E,unit,Annual,1,"$120,000,000.00"
B100014C372,Masaka-Kawanda interconnection,lots,Annual,1,"$5,000,000.00"
B100014C372,Mbarara-Nkenda,lots,Annual,1,"$2,000,000.00"
B100014C372,Nelsap Project,lots,Annual,1,"$6,000,000.00"
B100014C372,Bujagali upgrade,lots,Annual,1,"$2,000,000.00"
B760005360,Loose tools,Set,Annual,1,"$2,000,000.00"
B760005360,,,,,
B760005360_Prot,Lugs,Pkts,Annual,3,"$100,000.00"
B760005360_Prot,Office tools,lots,Annual,40,"$7,000.00"
B760005360_Prot,1.5mm sq single core,Roll,Annual,8,"$100,000.00"
B760005360_Prot,Cable glands (20-30mm),pcs,Annual,0,"$30,000.00"
B760005360_Prot,Multimeters,unit,Annual,3,"$7,000,000.00"
B760005360_Prot,"cable ties, and other accessories",lots,Annual,1,"$2,000,000.00"
B760008371,1.5mmsq single core,unit,Annual,8,"$160,000.00"
B760008371,"Cable lugs, ties and other accessories",Pkts,Annual,20,"$100,000.00"
B760008371,2.5mmsq single core,unit,Annual,8,"$200,000.00"
B760008371,Cable glands various sizes,pcs,Annual,60,"$12,000.00"
B760010373,Desk top computers,unit,Annual,2,"$4,000,000.00"
B760010373,Printer and Scanner,unit,Annual,1,"$5,000,000.00"
B760010373,Operational Laptops,unit,Annual,3,"$5,000,000.00"
B760013361_Prot,Airconditioners,unit,Annual,2,"$2,000,000.00"
B760013361_Prot,Office Furniture,unit,Annual,1,"$15,000,000.00"
B780014ST352_Prot,Ball pens (packet of 50),,Annual,2,"$99,850.00"
B780014ST352_Prot,Books - Counter    @,,Annual,4,"$8,700.00"
B780014ST352_Prot,Desk pads,,Annual,12,"$15,000.00"
B780014ST352_Prot,Envelops - White (4'' x 9'')  @ dozen,,Annual,5,"$22,200.00"
B780014ST352_Prot,External Photocopying,,Annual,20,"$7,500.00"
B780014ST352_Prot,Hi-lighters   @,,Annual,10,"$15,650.00"
B780014ST352_Prot,Paper clips (packet),,Annual,4,"$3,100.00"
B780014ST352_Prot,Pencils (dozen),,Annual,1,"$5,300.00"
B780014ST352_Prot,Petty Cash Vouchers,,Annual,3,"$45,000.00"
B780014ST352_Prot,Reams of photocopying paper  @,,Annual,15,"$15,500.00"
B780014ST352_Prot,Request for Accountable Advance Bks,,Annual,1,"$26,000.00"
B780014ST352_Prot,Request for Subsistence Allowance books,,Annual,5,"$26,100.00"
B780014ST352_Prot,Staple removers,,Annual,2,"$3,750.00"
B780014ST352_Prot,Staple wires (packets)   @,,Annual,3,"$2,250.00"
B780014ST352_Prot,Yellow Sticky Notes@,,Annual,10,"$7,500.00"
B780017X356_Prot,Schematic drawings,lot,Annual,10,"$50,000.00"
B780028X355_Prot,Street parking fees,lot,Annual,200,$500.00
B780032X357_Prot,Omicron,unit,Annual,1,"$2,000,000.00"
BS1;633,Loose Tools,lot,Annual,1,"$50,000.00"
BS1;633,cables ties,Packet,Annual,4,"$100,000.00"
BS1;633,Contact spray,unit,Annual,1,"$20,000.00"
BS1;633,Cable lugs,Packet,Annual,5,"$100,000.00"
BS1;633,Cable glands,unit,Annual,10,"$12,000.00"
BS11;633,Tools,lot,Annual,1,"$50,000.00"
BS11;633,cables ties,lot,Annual,3,"$15,000.00"
BS11;633,Contact spray,unit,Annual,1,"$20,000.00"
BS11;633,Other materials,lot,Annual,1,"$100,000.00"
BS12;633,Tools,lot,Annual,1,"$50,000.00"
BS12;633,cables ties,lot,Annual,3,"$15,000.00"
BS12;633,Contact spray,unit,Annual,1,"$20,000.00"
BS12;633,Other materials,lot,Annual,1,"$100,000.00"
BS13;633,Tools,lot,Annual,1,"$50,000.00"
BS13;633,cables ties,lot,Annual,3,"$15,000.00"
BS13;633,Contact spray,unit,Annual,1,"$20,000.00"
BS13;633,Other materials,lot,Annual,1,"$100,000.00"
BS14;633,Tools,lot,Annual,1,"$50,000.00"
BS14;633,cables ties,lot,Annual,3,"$15,000.00"
BS14;633,Contact spray,unit,Annual,1,"$20,000.00"
BS14;633,Other materials,lot,Annual,1,"$100,000.00"
BS15;632,Tools,lot,Annual,1,"$50,000.00"
BS15;632,cables ties,lot,Annual,3,"$15,000.00"
BS15;632,Contact spray,unit,Annual,1,"$20,000.00"
BS15;632,Other materials,lot,Annual,1,"$100,000.00"
BS15;633,Tools,lot,Annual,1,"$50,000.00"
BS15;633,cables ties,lot,Annual,3,"$15,000.00"
BS15;633,Contact spray,unit,Annual,1,"$20,000.00"
BS15;633,Other materials,lot,Annual,1,"$100,000.00"
BS16;632,Tools,lot,Annual,1,"$50,000.00"
BS16;632,cables ties,lot,Annual,3,"$15,000.00"
BS16;632,Contact spray,unit,Annual,1,"$20,000.00"
BS16;632,Other materials,lot,Annual,1,"$100,000.00"
BS16;633,Tools,lot,Annual,1,"$50,000.00"
BS16;633,cables ties,lot,Annual,3,"$15,000.00"
BS16;633,Contact spray,unit,Annual,1,"$20,000.00"
BS16;633,Other materials,lot,Annual,1,"$100,000.00"
BS17;633,Tools,lot,Annual,1,"$50,000.00"
BS17;633,cables ties,lot,Annual,3,"$15,000.00"
BS17;633,Contact spray,unit,Annual,1,"$20,000.00"
BS17;633,Other materials,lot,Annual,1,"$100,000.00"
BS18;632,Tools,lot,Annual,1,"$50,000.00"
BS18;632,cables ties,lot,Annual,3,"$15,000.00"
BS18;632,Contact spray,unit,Annual,1,"$20,000.00"
BS18;632,Other materials,lot,Annual,1,"$100,000.00"
BS18;633,Tools,lot,Annual,1,"$50,000.00"
BS18;633,cables ties,lot,Annual,3,"$15,000.00"
BS18;633,Contact spray,unit,Annual,1,"$20,000.00"
BS18;633,Other materials,lot,Annual,1,"$100,000.00"
BS19;633,Tools,lot,Annual,1,"$50,000.00"
BS19;633,cables ties,lot,Annual,3,"$15,000.00"
BS19;633,Contact spray,unit,Annual,1,"$20,000.00"
BS19;633,Other materials,lot,Annual,1,"$100,000.00"
BS2;633,Loose Tools,lot,Annual,1,"$50,000.00"
BS2;633,cables ties,Packet,Annual,3,"$100,000.00"
BS2;633,Contact spray,unit,Annual,1,"$20,000.00"
BS2;633,Cable glands,unit,Annual,20,"$12,000.00"
BS2;633,Cable lugs,Packet,Annual,5,"$100,000.00"
BS20;633,Tools,lot,Annual,1,"$50,000.00"
BS20;633,cables ties,lot,Annual,3,"$15,000.00"
BS20;633,Contact spray,unit,Annual,1,"$20,000.00"
BS20;633,Other materials,lot,Annual,1,"$100,000.00"
BS21;632,Tools,lot,Annual,1,"$50,000.00"
BS21;632,cables ties,lot,Annual,3,"$15,000.00"
BS21;632,Contact spray,unit,Annual,1,"$20,000.00"
BS21;632,Other materials,lot,Annual,1,"$100,000.00"
BS22;633,Tools,lot,Annual,1,"$50,000.00"
BS22;633,cables ties,lot,Annual,3,"$15,000.00"
BS22;633,Contact spray,unit,Annual,1,"$20,000.00"
BS22;633,Other materials,lot,Annual,1,"$100,000.00"
BS23;632,Tools,lot,Annual,1,"$50,000.00"
BS23;632,cables ties,lot,Annual,3,"$15,000.00"
BS23;632,Contact spray,unit,Annual,1,"$20,000.00"
BS23;632,Other materials,lot,Annual,1,"$100,000.00"
BS3;633,Loose Tools,lot,Annual,1,"$50,000.00"
BS3;633,cables ties,Packet,Annual,3,"$100,000.00"
BS3;633,Contact spray,unit,Annual,1,"$20,000.00"
BS3;633,Cable glands,unit,Annual,20,"$12,000.00"
BS3;633,1.5mmsq single,Metres,Annual,100,"$1,000.00"
BS4;632,Tools,lot,Annual,1,"$50,000.00"
BS4;632,cables ties,lot,Annual,3,"$15,000.00"
BS4;632,Contact spray,unit,Annual,1,"$20,000.00"
BS4;632,Other materials,lot,Annual,1,"$100,000.00"
BS4;633,Tools,lot,Annual,1,"$50,000.00"
BS4;633,cables ties,lot,Annual,3,"$15,000.00"
